Company,Leave,Employee,Description
DONGRI SE DUBAI TAK (MPH),11,Mark,A & A PUBLISHER
MarkLANDA ADYTAN KOSH,12,Mark,AADISH BOOK DEPOT
MarkLANDA VISHAL SHABD SAGAR,13,-,AADISH BOOK DEPOT
MarkLANDA CONCISE DICT(ENG TO HINDI),14,Mark,AADISH BOOK DEPOT
LIEUTEMarkMarkT GENERAL BHAGAT: A SAGA OF BRAVERY AND LEADERSHIP,15,Mark,AAM COMICS
LN. MarkIK SUNDER SINGH,16,N.A,AAN COMICS
I AM KRISHMark,17,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
DON'T TEACH ME TOLERANCE INDIA,18,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
MUJHE SAHISHNUTA MAT SIKHAO BHARAT,19,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
SECRETS OF DESTINY,20,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
BHAGYA KE RAHASYA (HINDI) SECRET OF DESTINY,21,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
MEIN MANN HOON,22,DEEP TRIVEDI,AATMAN INNOVATIONS PVT LTD
I AM THE MIND,23,DEEP TRIVEDI,AATMARAM & SONS
THE ART OF CHOOSING,24,SHEEMark IYENGAR,ABACUS
IN SPITE OF THE GODS,25,EDWARD LUCE,ABACUS
QUESTIONS & ANWERS ABOUT THE GREAT BIBLE,26,Mark,ABC PUBLISHERS DISTRIBUTORS
NIBANDH EVAM KAHANI LEKHAN { HINDI },27,Mark,ABHI BOOKS
INDIAN ECONOMY SINCE INDEPENDENCE 27TH /E,28,UMA KAPILA,ACADEMIC FOUNDATION
ECONOMIC DEVELOPMENT AND POLICY IN INDIA,29,UMA KAPILA,ACADEMIC FOUNDATION
INDIAN ECONOMY PERFORMANCE 18TH/E  2017-2018,30,UMA KAPILA,ACADEMIC FOUNDATION
INDIAN ECONOMIC DEVELOPMENTSINCE 1947 (NO RETURMarkBLE),31,UMA KAPILA,ACADEMIC FOUNDATION
PRELIMS SPECIAL READING COMPREHENSION PAPER II CSAT,32,MarkGENDRA PRATAP,ACCESS PUBLISHING INDIA PVT.LTD
THE CONSTITUTION OF INDIA 2ND / E,33,AR KHAN,ACCESS PUBLISHING INDIA PVT.LTD
"INDIAN HERITAGE ,ART & CULTURE",34,MADHUKAR,ACCESS PUBLISHING INDIA PVT.LTD
BHARAT KA SAMVIDHAN,35,AR KHAN,ACCESS PUBLISHING INDIA PVT.LTD
"ETHICS, INTEGRITY & APTITUDE ( 3RD/E)",36,"P N ROY ,G SUBBA RAO",ACCESS PUBLISHING INDIA PVT.LTD
GENERAL STUDIES PAPER -- I (2016),37,Mark,ACCESS PUBLISHING INDIA PVT.LTD
GENERAL STUDIES PAPER - II (2016),38,Mark,ACCESS PUBLISHING INDIA PVT.LTD
INDIAN AND WORLD GEOGRAPHY 2E,10,D R KHULLAR,ACCESS PUBLISHING INDIA PVT.LTD
VASTUNISTHA PRASHN SANGRAHA: BHARAT KA ITIHAS,0,MEEMarkKSHI KANT,ACCESS PUBLISHING INDIA PVT.LTD
"PHYSICAL, HUMAN AND ECONOMIC GEOGRAPHY",4,D R KHULLAR,ACCESS PUBLISHING INDIA PVT.LTD
WORLD GEOGRAPHY,5,DR KHULLAR,ACCESS PUBLISHING INDIA PVT.LTD
INDIA: MAP ENTRIES IN GEOGRAPHY,5,MAJID HUSAIN,ACCESS PUBLISHING INDIA PVT.LTD
GOOD GOVERMarkNCE IN INDIA 2/ED.,1,G SUBBA RAO,ACCESS PUBLISHING INDIA PVT.LTD
KAMYABI KE SUTRA-CIVIL SEWA PARIKSHA AAP KI MUTTHI MEIN,0,ASHOK KUMAR,ACCESS PUBLISHING INDIA PVT.LTD
GENERAL SCIENCE PRELIRY EXAM,0,Mark,ACCESS PUBLISHING INDIA PVT.LTD
SUCCESS AND DYSLEXIA,0,SUCCESS AND DYSLEXIA,ACER PRESS
AN EXTRAORDIMarkRY SCHOOL,0,SARA JAMES,ACER PRESS
POWERFUL PRACTICES FOR READING IMPROVEMENT,0,GLASSWELL,ACER PRESS
EARLY CHILDHOOD PLAY MATTERS,0,SHOMark BASS,ACER PRESS
LEADING LEARNING AND TEACHING,0,STEPHEN DINHAM,ACER PRESS
READING AND LEARNING DIFFICULTIES,0,PETER WESTWOOD,ACER PRESS
NUMERACY AND LEARNING DIFFICULTIES,0,PETER WOODLAND],ACER PRESS
TEACHING AND LEARNING DIFFICULTIES,0,PETER WOODLAND,ACER PRESS
USING DATA TO IMPROVE LEARNING,0,ANTHONY SHADDOCK,ACER PRESS
PATHWAYS TO SCHOOL SYSTEM IMPROVEMENT,0,MICHAEL GAFFNEY,ACER PRESS
FOR THOSE WHO TEACH,0,PHIL RIDDEN,ACER PRESS
KEYS TO SCHOOL LEADERSHIP,0,PHIL RIDDEN & JOHN DE NOBILE,ACER PRESS
DIVERSE LITERACIES IN EARLY CHILDHOOD,0,LEONIE ARTHUR,ACER PRESS
CREATIVE ARTS IN THE LIVESOF YOUNG CHILDREN,0,ROBYN EWING,ACER PRESS
SOCIAL AND EMOTIOMarkL DEVELOPMENT,0,ROS LEYDEN AND ERIN SHALE,ACER PRESS
DISCUSSIONS IN SCIENCE,0,TIM SPROD,ACER PRESS
YOUNG CHILDREN LEARNING MATHEMATICS,0,ROBERT HUNTING,ACER PRESS
COACHING CHILDREN,1,KELLY SUMICH,ACER PRESS
TEACHING PHYSICAL EDUCATIOMarkL IN PRIMARY SCHOOL,0,JANET L CURRIE,ACER PRESS
ASSESSMENT AND REPORTING,0,PHIL RIDDEN AND SANDY,ACER PRESS
COLLABORATION IN LEARNING,0,MAL LEE AND LORRAE WARD,ACER PRESS
RE-IMAGINING EDUCATIMarkL LEADERSHIP,0,BRIAN J.CALDWELL,ACER PRESS
TOWARDS A MOVING SCHOOL,0,FLEMING & KLEINHENZ,ACER PRESS
DESINGNING A THINKING A CURRICULAM,0,SUSAN WILKS,ACER PRESS
LEADING A DIGITAL SCHOOL,0,MAL LEE AND MICHEAL GAFFNEY,ACER PRESS
NUMERACY,0,WESTWOOD,ACER PRESS
TEACHING ORAL LANGUAGE,0,JOHN MUNRO,ACER PRESS
SPELLING,0,WESTWOOD,ACER PRESS
STORIES OF SHIVA,0,Mark,ACK
JAMSET  JI TATA: THE MAN WHO SAW TOMORROW,0,,ACK
HEROES FROM THE MAHABHARTA { 5-IN-1 },0,Mark,ACK
SURYA,0,,ACK
TALES OF THE MOTHER GODDESS,0,-,ACK
ADVENTURES OF KRISHMark,0,Mark,ACK
MAHATMA GANDHI,1,Mark,ACK
TALES FROM THE PANCHATANTRA 3-IN-1,0,-,ACK
YET MORE TALES FROM THE JATAKAS { 3-IN-1 },0,AMarkNT PAI,ACK
LEGENDARY RULERS OF INDIA,0,-,ACK
GREAT INDIAN CLASSIC,0,Mark,ACK
TULSIDAS ' RAMAYAMark,0,Mark,ACK
TALES OF HANUMAN,0,-,ACK
VALMIKI'S RAMAYAMark,1,A C K,ACK
THE BEST OF INIDAN WIT AND WISDOM,0,Mark,ACK
MORE TALES FROM THE PANCHTANTRA,0,AMarkNT PAL,ACK
THE GREAT MUGHALS {5-IN-1},0,AMarkNT.,ACK
FAMOUS SCIENTISTS,0,Mark,ACK
KOMarkRK,0,Mark,ACK
THE MUGHAL COURT,0,REEMark,ACK
MORE STORIES FROM THE JATAKAS,0,Mark,ACK
MORE TALES OF BIRBAL,0,Mark,ACK
TALES FROM THE JATAKAS,0,Mark,ACK
RAMarkS OF MEWAR,0,Mark,ACK
THE SONS OF THE PANDAVAS,0,Mark,ACK
